Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
atria 480g naturel k flei,Terveystuotteet:12129,Ravintolisät:12480,Rasvahappovalmisteet:12486,g,175.0,4.6,,,,,,
taf dippi 20g american dippimauste,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Dippikastikkeet:1219,g,1439.0,3.7,64.0,9.0,13.0,,,
taf kart 180g tilli kv maust plastu,"Makeiset, jäätelöt ja naposteltavat:1144",Sipsit ja muut naposteltavat:1212,Perunalastut:1213,g,2213.0,27.0,62.0,7.2,1.6,,,
valio maust rahka 200g kausim,Maito:351,Ruoanvalmistustuotteet:371,Rahkat kylmästä:1777,g,650.0,7.0,16.0,7.2,0.1,1.0,,
valio oltermanni cheddar e900g,Juustot:417,Kermajuusto:437,Kermajuustopalat:2823,g,1450.0,27.0,0.0,26.0,1.6,,,
dole 227/139g tg ananasviipal mehus,Kuivatuotteet:895,Säilykkeet:941,Hedelmä ja marjasäil:946,g,256.0,0.1,14.0,0.4,0.1,1.1,,
nescafé 8kpl/148g vanilla latte,Juomat:994,Kahvit ja suodatinpaperit:2609,Pikakahvit:2613,g,211.0,9.0,71.3,8.3,1.04,2.6,,
marli vital 1l karpalo-rypälejuoma,Juomat:994,Mehut:1018,Juomavalmiit mehut ja juomat:1021,g,190.0,0.1,9.0,0.1,0.0,,,
yosa kauravälipala 2x125g mus-b luo,Maito:351,Jogurtit:390,Ei-maitopohjainen valmiste:2601,g,222.0,0.6,12.0,1.2,0.03,1.0,,
pastella 250g ravioli pinaat tuorep,Valmisruoka:497,Aterian osat:12846,Tuorepasta:12868,g,1117.0,6.2,41.0,10.0,1.1,4.7,,
salonen kaura100 4/240g,Leipä:701,Tuore leipä:702,Vaaleat palaleivät:703,g,1111.0,5.4,38.9,10.6,0.9,8.9,,
valio creme fraiche 150g laktoosito,Maito:351,Ruoanvalmistustuotteet:371,Ranskankermat kylmästä:1781,g,1135.0,28.0,3.5,2.3,0.1,0.0,,
puffet 62g/1,Pakasteet:1075,Jäätelöt:1136,Muut annosjäätelöt:1139,g,1180.0,11.0,42.0,4.1,,,,
sm nacho chips 475g,Kuivatuotteet:895,Tex-mex:935,Lastut:940,g,2004.0,20.0,65.0,6.3,0.9,4.5,,
taco sauce hot,Kuivatuotteet:895,Tex-mex:935,Texmex-kastikkeet:938,g,138.0,0.0,4.8,1.6,0.95,1.8,,
marli vital 1l appels-porkkana-sitr,Juomat:994,Mehut:1018,Juomavalmiit mehut ja juomat:1021,g,163.0,0.1,9.0,0.3,0.0,,,
yosa kauravälipala 2x125g metsämarj,Maito:351,Jogurtit:390,Ei-maitopohjainen valmiste:2601,g,230.0,0.6,12.5,1.2,0.03,1.1,,
chorizo ring,Liha:80,Leikkeleet:226,Meetvurstit:228,g,2306.0,49.0,3.0,26.0,4.9,,,
